Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Day,Month,Year,Price_ln
Abbotsford,2,h,PI,Biggin,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0,18,6,2016,13.9108207377686
Abbotsford,2,h,S,Marshall,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,19,11,2016,14.089347223594002
Abbotsford,1,u,SP,Greg,2.5,3067.0,1.0,1.0,1.0,0.0,144.22205145826868,1970.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,22,8,2016,12.962194625251508
Abbotsford,3,h,PI,Nelson,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,22,8,2016,14.185348488429288
Abbotsford,1,u,S,Jellis,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,1970.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,22,8,2016,13.032438669876342
Abbotsford,2,h,S,Nelson,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0,22,8,2016,13.94214320889764
Abbotsford,4,h,S,Collins,2.5,3067.0,4.0,3.0,1.0,0.0,144.22205145826868,1970.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0,24,9,2016,14.248590833105412
Abbotsford,3,h,S,Biggin,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,1970.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0,25,2,2017,14.070152776337855
Abbotsford,3,h,S,Biggin,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0,25,2,2017,14.070152776337855
Abbotsford,1,u,S,Nelson,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,26,7,2016,13.060487973686241
Abbotsford,2,h,S,Jellis,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0,27,11,2016,13.981024996441848
Abbotsford,3,h,SP,Jellis,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0,27,11,2016,13.993656743347747
Abbotsford,2,h,S,Nelson,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0,28,5,2016,13.82793307796283
Abbotsford,2,h,S,Biggin,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0,30,7,2016,13.845069360205818
Airport West,3,t,PI,Nelson,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,3,9,2016,13.641157170819497
Airport West,3,h,VB,Nelson,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,3,12,2016,13.500799813124575
Airport West,3,h,SP,Nelson,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,4,3,2017,13.554145793829866
Airport West,2,h,S,Nelson,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0,4,3,2017,13.309672475709322
Airport West,3,t,S,Brad,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0,4,3,2017,13.458835614025542
Airport West,3,h,S,Maddison,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0,4,3,2017,13.304684934198283
Airport West,2,u,VB,Barry,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0,4,3,2017,13.122363377404328
Airport West,3,h,S,Barry,13.5,3042.0,2.0,1.0,1.0,620.0,144.22205145826868,1970.0,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0,6,8,2016,13.487006490992238
Airport West,4,h,S,Considine,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,1970.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464.0,6,8,2016,13.573438996764546
Airport West,6,h,SP,Barry,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464.0,7,5,2016,13.493926933836812
Airport West,2,t,S,Barry,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0,7,5,2016,13.017002861746503
Airport West,2,u,S,Barry,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464.0,7,11,2016,13.151922179645874
Airport West,2,u,S,Nelson,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464.0,10,9,2016,13.180632285528304
Airport West,3,h,PI,Rendina,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0,10,9,2016,13.704578997256993
Airport West,3,h,S,Nelson,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0,10,12,2016,13.5985975564007
Airport West,3,u,S,Nelson,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464.0,11,2,2017,13.530491602931978
Airport West,2,u,S,Barry,13.5,3042.0,2.0,1.0,1.0,192.0,144.22205145826868,1970.0,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464.0,13,8,2016,12.994530005894443
Airport West,5,h,PI,Propertyau,13.5,3042.0,3.0,2.0,2.0,596.0,144.22205145826868,1970.0,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464.0,14,5,2016,13.534473028231162
Airport West,3,t,PI,Brad,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0,15,10,2016,13.458835614025542
Airport West,3,h,S,Barry,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0,16,4,2016,13.62918097977278
Airport West,2,u,S,Barry,13.5,3042.0,2.0,1.0,1.0,164.0,144.22205145826868,2003.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464.0,16,7,2016,13.044401835934616
Airport West,3,h,SP,Barry,13.5,3042.0,3.0,2.0,2.0,657.0,144.22205145826868,1970.0,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464.0,16,7,2016,13.415032991367148
Airport West,2,h,S,Barry,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464.0,16,7,2016,13.422467969854667
Airport West,3,h,S,Nelson,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464.0,16,7,2016,13.85665250129545
Airport West,3,h,S,McDonald,13.5,3042.0,3.0,1.0,1.0,775.0,144.22205145826868,1970.0,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464.0,17,9,2016,13.721199878493033
Airport West,4,h,S,Brad,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0,17,9,2016,13.558034327569558
Airport West,3,h,PI,Barry,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0,18,3,2017,13.604789526648622
Airport West,3,h,S,Rendina,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0,18,3,2017,13.480037821676145
Airport West,3,h,S,Nelson,13.5,3042.0,3.0,1.0,3.0,614.0,144.22205145826868,1970.0,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464.0,18,3,2017,13.579788224443204
Airport West,3,t,SP,Nelson,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0,18,6,2016,13.199324418540456
Airport West,3,t,SP,Barry,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0,19,11,2016,13.623138665316818
Airport West,3,h,S,Barry,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0,22,5,2016,13.437174117244362
Airport West,3,h,S,Barry,13.5,3042.0,3.0,1.0,1.0,623.0,144.22205145826868,1970.0,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464.0,22,8,2016,13.5985975564007
Airport West,2,u,S,Nelson,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,1970.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464.0,22,8,2016,13.142166004700508
Airport West,3,h,S,Nelson,13.5,3042.0,3.0,2.0,1.0,212.0,144.22205145826868,1970.0,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464.0,22,8,2016,13.324487561494463
Airport West,3,h,S,Brad,13.5,3042.0,3.0,1.0,2.0,612.0,144.22205145826868,1970.0,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464.0,23,4,2016,13.403020834919145
Airport West,4,h,S,Nelson,13.5,3042.0,4.0,3.0,2.0,532.0,144.22205145826868,1970.0,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464.0,24,9,2016,13.793264949016955
Airport West,3,h,PI,Nelson,13.5,3042.0,3.0,1.0,1.0,585.0,144.22205145826868,1970.0,Moonee Valley,-37.72,144.878,Western Metropolitan,3464.0,25,2,2017,13.487006490992238
Airport West,4,h,S,Prof.,13.5,3042.0,4.0,1.0,2.0,509.0,144.22205145826868,1970.0,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464.0,27,11,2016,13.547631112808673
Airport West,4,h,S,Harcourts,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464.0,27,11,2016,13.710150042306449
Albert Park,2,h,S,hockingstuart,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280.0,3,9,2016,14.058456736574664
Albert Park,2,h,S,Thomson,3.3,3206.0,2.0,1.0,0.0,159.0,144.22205145826868,1970.0,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280.0,3,9,2016,14.19051645858773
Albert Park,3,h,PI,Buxton,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280.0,4,3,2017,14.862829552244833
Albert Park,3,h,S,Greg,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280.0,4,3,2017,14.430696197054507
Albert Park,2,h,S,RT,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280.0,4,3,2017,14.177372028590307
Albert Park,2,h,S,Marshall,3.3,3206.0,1.0,1.0,0.0,147.0,144.22205145826868,1900.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280.0,6,8,2016,13.919870573288517
Albert Park,2,h,S,Sotheby's,3.3,3206.0,2.0,1.0,1.0,167.0,144.22205145826868,1970.0,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280.0,7,5,2016,14.253765488895429
Albert Park,4,h,S,Marshall,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280.0,7,5,2016,14.648419680899378
Albert Park,3,t,VB,Marshall,3.3,3206.0,3.0,2.0,2.0,718.0,144.22205145826868,1970.0,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280.0,7,11,2016,14.253765488895429
Albert Park,3,h,VB,Greg,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280.0,7,11,2016,14.403297222866392
Albert Park,2,h,S,Greg,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280.0,10,9,2016,14.566926646648195
Albert Park,3,h,VB,Cayzer,3.3,3206.0,3.0,1.0,1.0,253.0,144.22205145826868,1970.0,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280.0,10,9,2016,14.403297222866392
Albert Park,3,h,S,Marshall,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280.0,10,9,2016,14.403297222866392
Albert Park,2,h,PI,Greg,3.3,3206.0,2.0,1.0,0.0,240.0,144.22205145826868,1970.0,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280.0,10,12,2016,14.408837403242009
Albert Park,3,h,S,Cayzer,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,10,12,2016,14.77677465548116
Albert Park,5,h,S,Greg,3.3,3206.0,5.0,2.0,1.0,237.0,144.22205145826868,1970.0,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280.0,10,12,2016,14.557447902693651
Albert Park,3,h,S,hockingstuart,3.3,3206.0,3.0,1.0,0.0,129.0,144.22205145826868,1970.0,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280.0,10,12,2016,14.077874822431765
Albert Park,3,h,S,Greg,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280.0,12,6,2016,14.130321297804308
Albert Park,2,h,S,Cayzer,3.3,3206.0,2.0,1.0,0.0,288.0,144.22205145826868,1970.0,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280.0,12,11,2016,13.815510557964274
Albert Park,3,h,S,Greg,3.3,3206.0,3.0,2.0,1.0,228.0,144.22205145826868,1970.0,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280.0,15,10,2016,14.761360092079974
Albert Park,2,h,S,Greg,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280.0,15,10,2016,14.095034442714592
Albert Park,2,h,S,Greg,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280.0,15,10,2016,14.261797660592693
Albert Park,3,h,VB,RT,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280.0,16,4,2016,14.508657738524219
Albert Park,3,h,S,Greg,3.3,3206.0,3.0,1.0,0.0,209.0,144.22205145826868,1900.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280.0,18,3,2017,14.457364444136669
Albert Park,3,h,S,Greg,3.3,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280.0,18,3,2017,14.917450636725059
Albert Park,4,h,VB,Cayzer,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280.0,18,6,2016,14.845129975145433
Albert Park,2,u,S,Greg,3.3,3206.0,2.0,1.0,1.0,0.0,144.22205145826868,1970.0,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280.0,22,5,2016,13.380101573483037
Albert Park,3,h,SP,Marshall,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280.0,23,4,2016,14.557447902693651
Albert Park,3,h,PI,Marshall,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280.0,24,9,2016,14.508657738524219
Albert Park,1,u,S,Marshall,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280.0,25,2,2017,13.00019574343012
Albert Park,4,h,S,Marshall,3.3,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280.0,25,2,2017,15.370492284602316
Albert Park,2,h,S,Greg,3.3,3206.0,2.0,1.0,0.0,136.0,144.22205145826868,1970.0,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280.0,25,2,2017,14.108180171927094
Albert Park,3,h,S,hockingstuart,3.3,3206.0,3.0,1.0,1.0,202.0,144.22205145826868,1970.0,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280.0,25,2,2017,14.403852624158093
Albert Park,3,h,S,Chisholm,3.3,3206.0,3.0,3.0,1.0,0.0,144.22205145826868,1970.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,26,7,2016,14.242084629282674
Albert Park,3,h,S,Greg,3.3,3206.0,3.0,2.0,2.0,325.0,144.22205145826868,1970.0,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280.0,26,7,2016,15.138598843180372
Albert Park,4,h,S,Greg,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280.0,27,6,2016,14.576316386998034
Albert Park,2,h,S,Marshall,3.3,3206.0,2.0,1.0,1.0,162.0,144.22205145826868,1970.0,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280.0,27,11,2016,14.375126345899696
Albert Park,2,h,S,Greg,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280.0,28,5,2016,13.795307850646754
Albert Park,3,h,S,hockingstuart,3.3,3206.0,3.0,2.0,0.0,152.0,144.22205145826868,1970.0,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280.0,28,8,2016,14.52354635101797
Albert Park,3,h,PI,Marshall,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280.0,28,8,2016,14.369395671190711
Albert Park,3,h,VB,Buxton,3.3,3206.0,3.0,3.0,1.0,0.0,144.22205145826868,1970.0,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280.0,30,7,2016,14.845129975145433
Albert Park,1,h,S,Marshall,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280.0,30,7,2016,13.800396920154226
Alphington,4,h,S,Brace,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211.0,3,9,2016,14.508657738524219
Alphington,3,h,S,Jellis,6.4,3078.0,3.0,2.0,2.0,208.0,144.22205145826868,2013.0,Yarra,-37.7854,145.0325,Northern Metropolitan,2211.0,3,9,2016,13.919870573288517
Alphington,3,h,S,Jellis,6.4,3078.0,3.0,2.0,2.0,411.0,144.22205145826868,1970.0,Darebin,-37.7713,145.0279,Northern Metropolitan,2211.0,4,3,2017,14.215628059745843
Alphington,4,h,S,Collins,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,-37.7717,145.031,Northern Metropolitan,2211.0,8,10,2016,14.356380303078641
Alphington,5,h,S,Nelson,6.4,3078.0,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211.0,12,6,2016,14.859314610137389
Alphington,2,u,S,Miles,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211.0,12,11,2016,13.172105469299144
Alphington,2,t,S,Miles,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,-37.7804,145.0308,Northern Metropolitan,2211.0,12,11,2016,13.5985975564007
Alphington,2,u,S,McGrath,6.4,3078.0,2.0,1.0,1.0,0.0,144.22205145826868,1970.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0,12,11,2016,13.049792684569493
Alphington,3,h,PI,hockingstuart,6.4,3078.0,3.0,3.0,2.0,686.0,144.22205145826868,1970.0,Darebin,-37.78,145.0341,Northern Metropolitan,2211.0,15,10,2016,14.508657738524219
Alphington,3,h,S,Nelson,6.4,3078.0,3.0,1.0,2.0,592.0,144.22205145826868,1970.0,Darebin,-37.7755,145.0288,Northern Metropolitan,2211.0,16,4,2016,14.247292974389811
Alphington,2,u,S,Nelson,6.4,3078.0,2.0,1.0,1.0,183.0,144.22205145826868,1970.0,Darebin,-37.7747,145.0264,Northern Metropolitan,2211.0,18,3,2017,13.617059619240436
Alphington,4,h,S,Nelson,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,-37.7743,145.0316,Northern Metropolitan,2211.0,19,11,2016,14.419826524817603
Alphington,4,h,S,Nelson,6.4,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin,-37.7723,145.0319,Northern Metropolitan,2211.0,19,11,2016,14.557447902693651
Alphington,3,h,SP,hockingstuart,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin,-37.7802,145.0243,Northern Metropolitan,2211.0,22,5,2016,13.670484785914017
Alphington,2,u,VB,Nelson,6.4,3078.0,2.0,1.0,1.0,0.0,60.0,1960.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0,22,5,2016,12.873902018105829
Alphington,2,t,SP,Brace,6.4,3078.0,0.0,1.0,0.0,0.0,144.22205145826868,1970.0,Yarra,-37.7848,145.025,Northern Metropolitan,2211.0,24,9,2016,13.38472764187182
Alphington,2,u,S,Love,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin,-37.7805,145.0262,Northern Metropolitan,2211.0,25,2,2017,13.146079904021645
Alphington,3,h,S,Barry,6.4,3078.0,3.0,1.0,2.0,979.0,144.22205145826868,1970.0,Yarra,-37.7792,145.029,Northern Metropolitan,2211.0,27,6,2016,13.968231644981937
